,compound,Bravais_lattice_relax,spacegroup_relax,volume_cell,density,geometry,enthalpy_formation_cell,natoms,energy_atom,eentropy_atom,scintillation_attenuation_length,valence_cell_std,bader_atomic_volumes,bader_net_charges
67,B6Y1,"CUB
",221,68.9709,3.70206,[ 4.10099  4.10099  4.10099 90.      90.      90.     ],-42.9469,7,-7.05855,-3.04429e-06,3.33511,21,[ 9.0286  8.9717  9.0326  8.7584  8.6033  9.0565 15.5198],[-0.3245 -0.3592 -0.3261 -0.2876 -0.2306 -0.3316  1.8594]
68,Al1Zr3,"CUB
",221,84.1263,5.93426,[ 4.381712  4.381712  4.381712 90.       90.       90.      ],-1.2016,4,-7.64378,0.000378072,2.04656,15,[22.9573 20.1769 20.112  20.8801],[-0.9938  0.3692  0.3799  0.2447]
69,La1Os4P12,"BCC
",204,269.826,7.8243,[  7.050744   7.050744   7.050744 109.4712   109.4712   109.4712  ],,17,-6.61747,-0.000367289,1.14216,95,"[19.4343 17.1945 17.1987 17.1945 17.1945 15.066  15.1935 15.1935 15.0791
 15.066  15.1935 15.2067 15.066  15.1935 15.0791 15.066  15.1935]","[ 1.6882 -0.1022 -0.1129 -0.1022 -0.1022 -0.0969 -0.1138 -0.1138 -0.0985
 -0.0969 -0.1138 -0.1154 -0.0969 -0.1138 -0.0985 -0.0969 -0.1138]"
70,Ag1Te3,"RHL
",160,116.725,6.98028,[  5.329636   5.333421   5.333421 109.4856   109.4568   109.4568  ],,4,-2.51913,0.00015706,1.64819,29,[22.1709 31.518  31.518  31.518 ],[ 0.1569 -0.0523 -0.0523 -0.0523]
71,Mo8P5,"MCL
",6,190.196,8.05307,[ 3.220177  6.582338  9.51855  70.50925  90.       90.      ],,13,-7.48754,0.000100872,1.47681,73,"[14.4129 14.4605 14.2194 14.2699 14.293  15.1031 14.3262 15.4179 15.0035
 14.8143 15.0584 14.1631 14.6497]","[ 0.5669  0.4716  0.5805  0.5524  0.566   0.5785  0.6454  0.5605 -0.8961
 -0.9105 -0.9208 -0.8552 -0.9392]"
72,Si1,"HEX
",191,15.0998,3.0886,[  2.652877   2.652877   2.477451  90.        90.       120.      ],0.308396,1,-5.11533,0.00026589,3.76697,4,[15.0998],[-0.]
73,La1Pt2Si2,"BCT
",139,92.3363,10.525,[  5.827086   5.827086   5.827086 136.567    136.567     63.10488 ],,5,-5.58131,-5.5658e-05,0.79864,31,[20.4645 21.412  21.424  14.7844 14.2514],[ 1.5857 -1.1649 -1.1672  0.3218  0.4247]
74,C1Si1,"FCC
",216,20.9947,3.17137,[ 3.096527  3.096527  3.096527 60.       60.       60.      ],-0.413945,2,-7.52966,6.175e-05,3.6649,8,[15.7343  5.2604],[-2.5975  2.5975]
75,Hg2Na1,"HEX
",191,76.9756,9.15032,[  5.193419   5.193419   3.295207  90.        90.       119.9925  ],-0.714956,3,-0.87674,-0.000135053,0.80795,25,[33.3749 32.6856 10.915 ],[-0.4221 -0.3662  0.7884]
76,Al1,"FCC
",225,16.4732,2.71981,[ 2.856038  2.856038  2.856038 60.       60.       60.      ],5e-06,1,-3.74356,-1.659e-05,4.42102,3,[16.4589],[0.]
77,N5Nb4,"BCT
",87,103.211,7.10577,[  5.346401   5.346401   5.346401  99.35907   99.35907  132.4353  ],,9,-9.47997,0.000118354,1.67438,45,[11.7789 11.7928 11.7909 11.777  12.8082 10.8218 10.8214 10.8104 10.8094],[-1.6489 -1.6511 -1.6536 -1.6514 -1.5513  2.0371  2.0372  2.0408  2.0411]
78,C1Ta1,"HEX
",187,23.7382,13.4979,[  3.077104   3.077104   2.894917  90.        90.       120.0006  ],,2,-9.80862,-0.00102487,0.625347,9,,
79,Hg1In1,"RHL
",166,52.7245,9.93372,[ 4.981523  4.981523  4.981523 43.29534  43.29534  43.29534 ],,2,-1.44668,-7.1035e-05,0.839429,15,[28.469  24.2555],[-0.3904  0.3904]
80,Tl1,"BCT
",139,30.4457,11.1465,[  3.538879   3.538879   3.538879 121.7853   121.7853    86.93465 ],0.019456,1,-2.34298,-5.9e-07,0.629955,3,[30.4457],[-0.]
81,Ce1Co1In5,"TET
",123,163.553,7.84975,[ 4.626468  4.626468  7.641169 90.       90.       90.      ],,7,-3.21094,-0.000139413,1.43626,28,[23.9216 17.6429 25.9433 24.2289 24.2289 23.7939 23.7939],[ 1.0272 -0.6315 -0.3452 -0.0397 -0.0397  0.0145  0.0145]
82,Pb3Th1,"CUB
",221,123.233,11.5026,[ 4.976328  4.976328  4.976328 90.       90.       90.      ],,4,-4.58417,-0.000589125,-0.000499397,16,[32.4799 30.4157 31.447  28.8904],[-0.5422 -0.3438 -0.4429  1.3289]
83,Ce1In3,"CUB
",221,101.571,7.92218,[ 4.66577  4.66577  4.66577 90.      90.      90.     ],,4,-3.2718,0.00108827,1.40117,13,[24.0169 24.858  25.8443 26.8519],[ 0.9949 -0.2191 -0.3312 -0.4446]
84,Ga3Zr1,"BCT
",139,69.6046,7.16731,[  5.327655   5.327655   5.327655 136.9519   136.9519    62.51209 ],,4,-4.43047,5.518e-05,1.74064,13,[17.7867 17.9733 17.9686 15.876 ],[-0.42   -0.3398 -0.3389  1.0988]
85,Cu4K1S3,"TET
",123,141.114,4.58294,[ 3.898667  3.898667  9.284071 90.       90.       90.      ],,8,-3.25583,3.31125e-06,2.64618,63,[12.7531 12.7531 12.7794 12.7794 20.4113 19.0102 25.1328 25.4948],[ 0.4574  0.4574  0.4558  0.4558  0.806  -0.8156 -0.9022 -0.9149]
86,Sb1Sn1,"RHL
",166,60.683,6.57944,[ 4.433322  4.433322  4.433322 59.33692  59.33692  59.33692 ],,2,-3.89329,-1.148e-05,1.73578,9,[32.5318 28.1285],[-0.2339  0.2339]
87,Pb1,"FCC
",225,31.5447,10.9072,[ 3.546611  3.546611  3.546611 60.       60.       60.      ],0.000878,1,-3.70419,3.674e-05,0.637137,4,[31.5447],[0.]
88,Hf5Re24,"BCC
",217,470.227,18.9325,[  8.484829   8.484829   8.484829 109.4712   109.4712   109.4712  ],,29,-9.83564,3.05521e-05,0.424232,188,"[13.3554 12.6285 12.6285 12.5882 12.6285 16.7746 16.7746 16.7569 16.7733
 16.7746 16.7746 16.7733 16.7569 16.7733 16.7569 16.7746 16.7746 17.0442
 17.2357 17.2268 17.1034 17.6552 17.0857 17.1034 16.6524 17.1034 16.961
 17.2508 16.738 ]","[ 1.5467  1.553   1.553   1.5604  1.553  -0.2372 -0.2372 -0.2304 -0.2356
 -0.2372 -0.2372 -0.2356 -0.2304 -0.2356 -0.2304 -0.2372 -0.2372 -0.3993
 -0.4574 -0.4537 -0.4119 -0.599  -0.4067 -0.4119 -0.2631 -0.4119 -0.3636
 -0.4697 -0.2971]"
89,S8V6,"MCL
",11,284.788,3.27766,[  9.505885   9.483733   3.619312  90.        90.       119.2124  ],,14,-6.3118,0.000429021,3.71672,78,"[28.4302 28.9967 28.8679 28.4302 28.9967 28.8679 21.2885 21.2885 11.2945
 11.1185 10.7709 11.2945 11.1185 10.7709]","[-1.0266 -1.0323 -1.0208 -1.0266 -1.0323 -1.0208 -1.1601 -1.1601  1.382
  1.4045  1.4544  1.382   1.4045  1.4544]"
90,C1Mo2,"HEX
",187,39.9785,8.46877,[  2.899544   2.899624   5.490612  90.        90.       119.9991  ],,3,-7.87137,-1.99e-05,1.40078,16,[ 9.4838 15.5756 14.9191],[-1.291   0.581   0.7099]
91,Ir1Nb1,"TET
",123,32.0848,14.7566,[ 2.875453  2.875453  3.880494 90.       90.       90.      ],,2,-7.80534,0.00014472,0.581774,14,[19.1186 12.9662],[-1.2444  1.2444]
92,Sr1,"HEX
",191,54.7735,2.65633,[  4.072151   4.072151   3.814099  90.        90.       120.      ],0.22228,1,-1.46129,0.0004991,4.6791,2,[54.7735],[-0.]
93,La1Tl3,"CUB
",221,117.682,10.6112,[ 4.90046  4.90046  4.90046 90.      90.      90.     ],,4,-3.302,-3.1595e-05,0.706503,12,[26.1523 31.0371 30.0109 30.4818],[ 1.1882 -0.4424 -0.3516 -0.3942]
94,Co1Ti1,"CUB
",221,29.8609,5.9409,[ 3.102424  3.102424  3.102424 90.       90.       90.      ],,2,-4.62373,0.000847655,2.09677,13,[18.6863 11.1746],[-1.3251  1.325 ]
95,La1,"FCC
",225,38.8255,5.9409,[  3.798935   3.798935   3.798935 119.9012   119.9012    90.17121 ],,1,-4.77252,-0.00037543,1.79914,3,[38.8255],[-0.]
96,As2Te3,"RHL
",166,146.347,6.04367,[10.33822 10.33822 10.33822 22.86157 22.86157 22.86157],-0.038775,5,-3.75349,0.000113486,1.95505,28,[21.4912 21.4914 30.5956 36.4028 36.3556],[ 0.1738  0.1738 -0.1795 -0.0849 -0.0833]
97,Be1,"BCC
",229,7.83305,1.91051,[  2.16696   2.16696   2.16696 109.4712  109.4712  109.4712 ],0.098412,1,-3.64229,-0.00016649,6.81127,2,[7.833],[-0.]
98,Sn3Yb1,"CUB
",221,111.328,7.89209,[ 4.810621  4.810621  4.810621 90.       90.       90.      ],,4,-3.45221,0.000398488,1.30866,28,[30.4236 30.8779 30.9144 19.0691],[-0.3496 -0.3927 -0.3979  1.1402]
99,La3Ni4Si4,"ORCI
",71,204.661,6.19732,[ 12.15142  12.15142  12.15142 159.9755  160.5329   28.06933],,11,-4.68415,-9.44373e-05,1.80195,65,"[22.2864 21.5211 21.5211 17.6068 17.6069 14.3437 14.3434 16.5793 16.5793
 21.376  20.8918]","[ 1.4203  1.4484  1.4484 -0.7097 -0.7097 -0.559  -0.559  -0.1767 -0.1767
 -0.7661 -0.6604]"
100,Lu1Pd2Sn1,"FCC
",225,73.1254,11.5007,[ 4.693835  4.693835  4.693835 60.       60.       60.      ],,4,-4.21252,-0.00032671,0.891991,41,[14.2221 19.3717 19.3863 20.1453],[ 1.5324 -0.8115 -0.8138  0.093 ]
101,Gd1Mo6S8,"RHL
",148,279.705,5.87364,[ 6.540291  6.540291  6.540291 89.32149  89.32149  89.32149 ],,15,-7.238,-1.7706e-05,1.93936,94,"[18.1857 13.9926 13.9918 13.9991 13.9983 13.9926 13.9926 21.7925 21.7925
 22.3308 22.3308 22.3308 22.325  22.325  22.325 ]","[ 1.8642  0.905   0.9052  0.903   0.9033  0.905   0.9049 -0.8609 -0.8609
 -0.9282 -0.9282 -0.9282 -0.928  -0.928  -0.928 ]"
102,Pb3Sr1,"CUB
",221,127.311,9.2505,[ 5.038034  5.038034  5.015832 90.       90.       90.      ],-1.43922,4,-3.5595,8.62925e-05,0.79452,14,[36.2694 34.3904 35.3011 21.3499],[-0.4749 -0.328  -0.3994  1.2023]
103,Ga2Y1,"HEX
",191,62.877,6.03136,[  4.212044   4.211788   4.09271   90.        90.       120.002   ],,3,-4.41188,3.95367e-05,2.06479,9,[22.7605 22.1275 17.9892],[-0.7929 -0.6855  1.4784]
104,B6Th1,"CUB
",221,71.9518,6.85196,[ 4.15924  4.15924  4.15924 90.      90.      90.     ],,7,-6.98514,-0.000281046,-0.000291417,22,[ 8.1702  8.6449  8.3524  7.8777  8.9587  8.4843 21.4636],[-0.2531 -0.3961 -0.2867 -0.1437 -0.5159 -0.373   1.9684]
105,Ga2Pt1,"FCC
",225,52.9912,10.484,[ 4.216054  4.216054  4.216054 60.       60.       60.      ],,3,-3.43621,-7.337e-05,0.863583,16,[14.6586 14.6591 23.6735],[ 0.6451  0.6451 -1.2902]
106,Pb1Te1,"FCC
",225,70.4799,7.88804,[ 4.636535  4.636535  4.636535 60.       60.       60.      ],-0.816708,2,-3.83156,0.000224925,1.03815,10,[29.4739 41.0061],[ 0.6474 -0.6474]
107,La3Pd4Si4,"ORCI
",71,227.403,6.9711,[ 12.71866  12.71866  12.71866 160.665   160.4899   27.60272],,11,-5.13432,-0.000191229,1.6067,65,"[22.7115 22.1507 22.1507 23.469  23.4689 19.3543 19.3548 15.8414 15.8414
 21.2318 21.8216]","[ 1.4917  1.535   1.535  -1.0635 -1.0635 -0.8107 -0.8108  0.1529  0.1529
 -0.4969 -0.6221]"
108,Ba6C60,"BCC
",204,720.833,3.55829,[  9.783304   9.783304   9.783304 109.4712   109.4712   109.4712  ],10.9229,66,-8.39273,6.13386e-05,3.15646,252,"[26.8068 26.8068 26.8068 26.8068 26.8068 26.8068  9.5973  9.94    9.5979
  9.9395  9.9395  9.5979  9.9395  9.5967  9.5979  9.94    9.5979  9.9395
  9.1738  9.1527  9.2116  9.199   9.199   9.2122  9.1618  9.1738  9.2122
  9.199   9.1738  9.1498  9.1738  9.1635  9.2122  9.199   9.199   9.2128
  9.1532  9.1738  9.2128  9.199   9.1738  9.1521  8.9627  8.9678  9.2402
  9.2402  9.2402  9.2402  8.965   8.9633  9.2402  9.2402  8.9633  8.9804
  8.9627  8.9799  9.2408  9.2402  9.2402  9.2408  8.9644  8.9633  9.2402
  9.2402  8.9633  8.965 ]","[ 1.3199  1.3199  1.3199  1.3199  1.3199  1.3199 -0.1667 -0.2788 -0.1674
 -0.2788 -0.2788 -0.1671 -0.2788 -0.1669 -0.1674 -0.2788 -0.1674 -0.2788
 -0.0952 -0.0914 -0.1149 -0.1041 -0.1041 -0.1152 -0.0915 -0.0952 -0.115
 -0.1041 -0.0952 -0.0907 -0.0952 -0.0923 -0.1156 -0.1041 -0.1041 -0.1154
 -0.0909 -0.0952 -0.115  -0.1041 -0.0952 -0.0908 -0.0563 -0.0774 -0.17
 -0.164  -0.164  -0.17   -0.0768 -0.0564 -0.17   -0.164  -0.0564 -0.0781
 -0.0563 -0.078  -0.17   -0.164  -0.164  -0.17   -0.0766 -0.0564 -0.17
 -0.164  -0.0564 -0.0772]"
109,La1S1,"FCC
",225,51.9988,5.45965,[ 4.18957  4.18957  4.18957 60.      60.      60.     ],,2,-6.49261,-2.37e-05,1.9872,9,[23.8685 28.1303],[ 1.5019 -1.5019]
110,Cr1,"BCC
",229,11.8709,7.27339,[  2.489056   2.489056   2.489056 109.475    109.475    109.4637  ],,1,-5.5648,0.0005775,1.70656,6,[11.8709],[0.]
111,Ba8Si46,"CUB
",223,1121.88,3.53839,[10.39079 10.39079 10.39079 90.      90.      90.     ],-5.82298,54,-5.01308,7.11626e-05,3.19378,200,"[23.2759 23.2759 27.3568 27.3568 27.3568 27.3568 27.3568 27.3568 19.9086
 19.8991 19.8991 19.8991 19.9086 19.9086 19.3048 19.3048 18.8997 19.3048
 18.8997 18.8997 19.3048 18.8997 19.3048 19.3048 19.3048 19.3048 18.8997
 18.8997 18.8997 18.8997 20.8001 19.708  19.708  20.8096 19.708  20.8001
 20.8001 19.708  19.708  20.8001 20.8001 19.708  20.8001 19.708  20.8096
 19.708  19.708  20.8001 20.8001 19.708  20.8096 19.708  20.8001 19.708 ]","[ 1.1193  1.1193  1.2259  1.2259  1.2259  1.2259  1.2259  1.2259 -0.1337
 -0.1333 -0.1333 -0.1333 -0.1337 -0.1337 -0.197  -0.197  -0.1058 -0.197
 -0.1058 -0.1058 -0.197  -0.1058 -0.197  -0.197  -0.197  -0.197  -0.1058
 -0.1058 -0.1058 -0.1058 -0.3465 -0.1843 -0.1843 -0.3468 -0.1843 -0.3465
 -0.3465 -0.1843 -0.1843 -0.3465 -0.3465 -0.1843 -0.3465 -0.1843 -0.3468
 -0.1843 -0.1843 -0.3465 -0.3465 -0.1843 -0.3468 -0.1843 -0.3465 -0.1843]"
112,La1Ru3Si2,"HEX
",191,101.57,8.14634,[  5.724787   5.72457    3.578809  90.        90.       120.0012  ],,6,-6.141,0.000173045,1.40568,35,[20.5707 18.7608 18.8342 18.9146 12.2448 12.2448],[ 1.5523 -0.7611 -0.7755 -0.7896  0.387   0.387 ]
113,Ga1,"BCT
",139,18.4496,6.27661,[  3.022234   3.022234   3.022234 123.2972   123.2972    84.37811 ],,1,-2.40699,1.748e-05,2.01064,3,[18.4496],[-0.]
114,O2,"RHL
",166,44.4495,1.19541,[ 4.413887  4.413887  4.413887 48.64283  48.64283  48.64283 ],-0.862332,2,-4.93739,0.00125766,9.70279,12,[22.6166 21.8329],[-0.1133  0.1133]
115,Ca1Ir1Si3,"BCT
",107,86.8579,6.05189,[  5.761692   5.761692   5.761692 137.3236   137.3236    61.94056 ],,5,-5.5177,9.8e-06,1.44704,23,[13.2071 26.7942 17.6464 14.6043 14.6015],[ 1.3531 -2.3115 -0.1114  0.5347  0.5351]
116,Ga3Lu1,"CUB
",221,74.6818,8.54215,[ 4.211191  4.211191  4.211191 90.       90.       90.      ],,4,-3.44348,-0.000234053,1.20634,26,[19.6049 19.3964 19.8439 15.8367],[-0.4204 -0.3892 -0.4541  1.2637]
117,Nb1Te2,"HEX
",164,85.6132,6.75181,[  3.700508   3.700508   7.219137  90.00043   89.99957  119.9995  ],,3,-5.33566,-0.00074376,1.72364,17,,
118,As1,"CUB
",221,20.4262,6.09072,[ 2.733564  2.733564  2.733564 90.       90.       90.      ],0.111626,1,-4.5407,8.8e-07,2.07204,5,[20.4262],[-0.]
119,Cu1Y1,"CUB
",221,42.8513,5.90769,[ 3.499356  3.499356  3.499356 90.       90.       90.      ],,2,-4.54627,0.00047187,2.07764,14,[24.7433 18.1081],[-1.3617  1.3617]
120,Au1V3,"CUB
",221,64.7258,8.97389,[ 4.015063  4.015063  4.015063 90.       90.       90.      ],,4,-5.11389,0.000258003,1.00421,26,[23.7796 13.4367 13.8655 13.644 ],[-1.7688  0.6288  0.5496  0.5905]
121,Pd2Sn1Y1,"FCC
",225,78.5272,8.88971,[ 4.806678  4.806678  4.806678 60.       60.       60.      ],,4,-4.7519,-0.000216495,1.31536,27,[20.491  20.4981 22.5764 14.9532],[-0.7641 -0.7651 -0.0884  1.6177]
122,Hg2Mg1,"BCT
",139,67.8455,10.4139,[  5.245232   5.245232   5.245232 136.3584   136.3584    63.4267  ],-0.371755,3,-0.855216,-0.000175083,0.710023,26,[29.3493 30.0057  8.4905],[-0.6755 -0.7609  1.4364]
123,Hf1,"FCC
",225,22.4196,13.2201,[ 3.165055  3.165055  3.165055 60.       60.       60.      ],0.071367,1,-9.88133,0.00018126,0.639465,4,[22.4196],[0.]
124,P1,"CUB
",221,14.6074,3.52104,[ 2.444504  2.444504  2.444508 90.       90.       89.99438 ],0.052752,1,-5.27139,-0.00052415,3.39565,5,,
125,Nb1Se2,"RHL
",160,73.3591,5.67765,[ 7.214923  7.21499   7.214923 28.0501   28.05004  28.0501  ],,3,-6.02185,-0.000102433,2.19981,17,[15.1302 29.1918 29.0372],[ 1.4464 -0.7301 -0.7163]
126,In3Te4,"RHL
",166,222.779,6.37192,[13.9683  13.9683  13.9683  17.81802 17.81802 17.81802],,7,-3.20384,-0.000113189,1.79994,33,[22.3947 22.5969 22.597  41.021  41.0614 36.551  36.5513],[ 0.6868  0.7059  0.7059 -0.4516 -0.4527 -0.5972 -0.5972]
127,Ce1Cu2Ge2,"BCT
",139,91.0813,7.51849,[  5.964189   5.964189   5.964189 138.8124   138.8124    59.66108 ],,5,-4.2101,-5.3548e-05,1.56127,34,[21.7225 14.6282 14.6273 20.2176 19.8857],[ 1.459  -0.1659 -0.1657 -0.5965 -0.5308]
128,Ti1,"FCC
",225,18.8253,4.22516,[ 2.985971  2.985971  2.985971 60.       60.       60.      ],,1,-4.77598,0.00024197,2.96116,4,[18.8253],[0.]
129,Ba6Nb10O30,"TET
",127,656.037,5.65216,[12.77499  12.77499   4.019826 90.       90.       90.      ],,46,-8.23112,-4.62398e-05,2.03122,242,"[20.5542 20.5542 24.2869 24.2869 24.2869 24.2869 10.2262 10.2262  9.8782
  9.8782  9.8782  9.8782  9.8782  9.8782  9.8782  9.8782 15.2232 15.2232
 14.1953 14.1953 14.1953 14.1953 14.5426 14.5426 14.5426 14.5426 14.5426
 14.5426 14.5426 14.5426 13.5649 13.5649 13.5649 13.5649 13.5649 13.5649
 13.5649 13.5649 13.2769 13.2769 13.2769 13.2769 13.2769 13.2769 13.2769
 13.2769]","[ 1.5509  1.5509  1.6527  1.6527  1.6527  1.6527  2.6912  2.6912  2.7284
  2.7284  2.7284  2.7284  2.7284  2.7284  2.7284  2.7284 -1.2045 -1.2045
 -1.2583 -1.2583 -1.2583 -1.2583 -1.2122 -1.2122 -1.2122 -1.2122 -1.2122
 -1.2122 -1.2122 -1.2122 -1.2091 -1.2091 -1.2091 -1.2091 -1.2091 -1.2091
 -1.2091 -1.2091 -1.2638 -1.2638 -1.2638 -1.2638 -1.2638 -1.2638 -1.2638
 -1.2638]"
130,La3Tl1,"CUB
",221,135.245,7.62571,[ 5.133029  5.133029  5.133029 90.       90.       90.      ],,4,-4.39487,-0.000502938,1.19612,12,[32.0428 32.0016 32.0479 39.1527],[ 0.4542  0.4583  0.4539 -1.3664]
131,C1Nb1,"FCC
",225,22.8326,7.6303,[ 3.184369  3.184369  3.184369 60.       60.       60.      ],,2,-9.39087,-0.000509095,1.56066,9,[11.5845 11.2481],[-1.7881  1.7881]
132,As3Sn4,"RHL
",166,189.621,6.12583,[12.70478 12.70478 12.70478 18.98224 18.98224 18.98224],,7,-4.16029,-1.42657e-05,1.92599,31,[27.8854 28.127  28.1271 27.6984 27.7376 25.0093 25.0096],[-0.7384 -0.6773 -0.6773  0.4158  0.4132  0.6321  0.6321]
133,La1Te1,"FCC
",225,69.215,6.39374,[ 4.608629  4.608629  4.608629 60.       60.       60.      ],,2,-5.46106,0.00018551,1.73211,9,[26.6428 42.5722],[ 1.3933 -1.3933]
